Rihga	Rīga
.	.
Daugama	Daugava
pee	pie
pilsata	pilsāta
ar	ar
wiffu	visu
sirgu	zirgu
un	un
mesumu	vezumu
eelaususchi	ielauzuši
un	un
eekrittuschi	iekrituši
strahdneeki	strādnieki
no	no
Bebberbeķes	Beberbeķu
muischas	muižas
.	.
Peeskrehjuschi	Pieskrējuši
zitti	citi
Paliga	palīgā
un	un
deemschehl	diemžēl
arri	arī
eekrittuschi	iekrituši
.	.
Tad	Tad
kungi	kungi
usruunajuschi	uzrunājuši
ļaudis	ļaudis
lai	lai
glahbj	glābj
.	.
Kahdi	Kādi
gohdigi	godīgi
puhrmaņņi	pūrmaņi
eedrohschinajuschees	iedrošinājušies
un	un
ar	ar
nahmes	nāves
bailehm	bailēm
ispestijuschi	izpestījuši
nelaimīgus	nelaimīgus
ir	ir
sirgu	zirgu
,	,
bet	bet
mesums	vezums
palizzis	palicis
eekscha	iekšā
,	,
jo	jo
jam	jau
bijis	bijis
tumsch	tumšs
makkars	vakars
.	.
Kungi	Kungi
nu	nu
samettuschi	sametuši
naudu	naudu
gohdigeem	godīgiem
glahbejeem	glābējiem
par	par
Pagohdinaschauu	pagodināšanu
.	,
bet	bet
schee	šie
gohdigi	godīgi
puhrmanni	pūrmaņi
naudu	naudu
ne	ne
buht	būt
nam	nav
nehmuschi	ņēmuši
,	,
jo	jo
no	no
Kristus	Kristus
pusses	puses
un	un
brahļa	brāļa
mihleftibas	mīlestības
to	to
darrijnschi	darījuši
.	.
Ohtra	Otrā
rihta	rītā
ir	ir
to	to
Mesumu	vezumu
ismilkuschi	izvilkuši
.	.
Pehterburga	Pēterburga
.	.
!	
3ta	
	13tā
Merzi	Martā
muhsu	mūsu
Kungs	Kungs
un	un
Keisers	Ķeizars
saldatus	zaldātus
munsterejis	munsterējis
un	un
leelu	lielu
leelais	lielais
ļauschu	ļaužu
un	un
skattitaju	skatītāju
pulks	pulks
tur	tur
bijis	bijis
.	.
Tad	Tad
no	no
ļaudim	ļaudīm
isuahkuschi	iznākuši
zitti	citi
semneeki	zemnieki
un	un
muischas	muižas
-	-
ļaudis	ļaudis
Ķeiseram	Ķeizaram
krittufchi	krituši
pee	pie
kahjahm	kājām
un	un
ar	ar
affarahm	asarām
un	un
leelu	lielu
teikschanu	teikšanu
tam	tam
pateikuschi	pateikuši
par	par
to	to
leelu	lielu
schehlaftibu	žēlastību
,	,
ko	ko
darrijis	darījis
pee	pie
sameem	saviem
KreeMu	Krievu
nabbaga	nabaga
semneekeem	zemniekiem
.	.
Keisers	Ķeizars
preezigi	priecīgi
tohs	tos
pceņehmis	pieņēmis
un	un
ar	ar
mihligeem	mīlīgiem
bet	bet
stipreem	stipriem
mahrdeem	vārdiem
tohs	tos
usrunnajis	uzrunājis
peekohdinadams	piekodinādams
Miffeem	visiem
ļaudim	ļaudīm
,	,
lai	lai
kristigi	kristīgi
,	,
dcc	
-	
Mabihjigi	
	dievbijīgi
un	un
ustizzigi	uzticīgi
turrahs	turas
un	un
dsihmo	dzīvo
,	,
tad	tad
tikkai	tikai
schi	šī
schehlastiba	žēlastība
miffeem	visiem
isdohschotees	izdošoties
un	un
buhschoht	būšot
par	par
ihstu	īstu
labklahfchanu	labklājību
un	un
smehtibu	svētību
.	.
Ar	Ar
affarahm	asarām
,	,
leelu	lielu
teikschanu	teikšanu
un	un
gamileschanu	gavilēšanu
miffi	visi
ļaudis	ļaudis
tad	tad
samu	savu
mihļu	mīļu
schehligu	žēlīgu
Ķeiseru	Ķeizaru
smeizinajuschi	sveicinājuši
ar	ar
Urrah	Urā
un	un
slamu	slavu
.	.
Z	Z
-	-
c	c
.	.
Kahdas	Kādas
mahcibas	mācības
to	to
septiņu	septiņu
Greeķeru	Grieķu
Pasauls	Pasaules
-	-
gudru	gudru
.	.
Wezzu	Vecu
Greeķeru	Grieķu
semme	zemē
tee	tie
